Source,Target,EdgeType,Weight
196,342,从事,1
196,313,掌握,1
313,202,应用于,1
196,116,体现,1
116,202,属于,1
196,139,体现,1
196,156,体现,1
196,202,属于,1
196,284,采用,1
196,31,使用,1
196,144,风险等级,1
196,144,精度等级,1
84,308,从事,1
84,249,掌握,1
249,340,应用于,1
84,116,体现,1
84,157,体现,1
157,340,属于,1
84,139,体现,1
139,340,属于,1
84,340,属于,1
84,284,采用,1
84,31,使用,1
84,42,风险等级,1
84,146,精度等级,1
21,236,从事,1
21,95,掌握,1
95,17,应用于,1
21,116,体现,1
21,152,体现,1
21,157,体现,1
157,17,属于,1
21,17,属于,1
21,334,采用,1
21,65,使用,1
21,67,风险等级,1
21,144,精度等级,1
233,207,从事,1
233,188,掌握,1
188,213,应用于,1
233,157,体现,1
233,139,体现,1
233,116,体现,1
233,213,属于,1
233,93,采用,1
233,151,使用,1
233,42,风险等级,1
233,144,精度等级,1
312,289,从事,1
312,212,掌握,1
212,202,应用于,1
312,116,体现,1
312,157,体现,1
312,139,体现,1
312,202,属于,1
312,93,采用,1
312,31,使用,1
312,67,风险等级,1
312,144,精度等级,1
253,1,从事,1
253,287,掌握,1
287,202,应用于,1
253,157,体现,1
253,139,体现,1
253,116,体现,1
253,202,属于,1
253,93,采用,1
253,151,使用,1
253,42,风险等级,1
253,144,精度等级,1
321,44,从事,1
321,122,掌握,1
122,340,应用于,1
321,116,体现,1
321,139,体现,1
321,157,体现,1
321,340,属于,1
321,284,采用,1
321,31,使用,1
321,144,风险等级,1
321,146,精度等级,1
138,231,从事,1
138,66,掌握,1
66,340,应用于,1
138,116,体现,1
138,139,体现,1
138,157,体现,1
138,340,属于,1
138,284,采用,1
138,31,使用,1
138,144,风险等级,1
138,146,精度等级,1
102,299,从事,1
102,174,掌握,1
174,62,应用于,1
102,310,体现,1
102,116,体现,1
102,139,体现,1
102,62,属于,1
102,284,采用,1
102,31,使用,1
102,144,风险等级,1
102,146,精度等级,1
46,52,从事,1
46,92,掌握,1
92,17,应用于,1
46,310,体现,1
46,116,体现,1
46,152,体现,1
46,17,属于,1
46,334,采用,1
46,31,使用,1
46,67,风险等级,1
46,144,精度等级,1
36,83,从事,1
36,155,掌握,1
155,213,应用于,1
36,116,体现,1
36,157,体现,1
36,139,体现,1
